商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"肯德基自在厨房 爆汁脆皮原味香骨鸡*4袋/6袋装空气炸锅半成品wss",69.9,20.0%,13.98,已售：10.3万,结束：2023-04-30,9281,4.8万,肯德基自在厨房官方旗舰店,4.99,4.62,4.99,2023-04-18 21:45:54.068
"湖中醉 麻辣虾尾8盒装 麻辣龙虾尾250g/盒 去头小龙虾尾 ",99.6,15.0%,14.94,已售：3.7万,结束：2023-09-25,,,湖中醉官方旗舰店,4.97,4.97,4.76,2023-04-18 21:45:54.179
"贝贝小南瓜现摘现发宝宝辅食板栗味粉糯香甜整箱五斤左右代餐",29.9,18.0%,5.38,已售：22.7万,结束：2023-07-31,1.5万,10.8万,壹亩地瓜生鲜专营店,4.78,4.99,4.8,2023-04-18 21:45:54.284
"皇家小虎墨西哥鸡肉卷早餐半成品老北京速食微波炉加热即食鸡肉卷",24.9,29.0%,7.22,已售：156.4万,结束：2023-11-30,1.6万,8.2万,皇家小虎官方旗舰店,4.98,4.99,4.97,2023-04-18 21:45:54.388
"崔大师香煎鸡排奥尔良黑胡椒孜然冷冻半成品80g*10片再送2片",29.9,25.0%,7.48,已售：13.1万,结束：2023-08-01,1.6万,6.7万,崔大师生鲜旗舰店,4.9,4.72,4.83,2023-04-18 21:45:54.497
"【大希地】忘不了大鸡排鸡扒鸡胸肉低脂健身早餐速食半成品135g",69.0,20.0%,13.8,已售：23.4万,结束：2023-12-08,1.2万,3.9万,大希地官方旗舰店,4.86,4.94,4.99,2023-04-18 21:45:54.608
"皇家小虎葡式牛油蛋挞皮和蛋挞液套装半成品家庭烘焙空气炸锅美食",17.9,29.0%,5.19,已售：119.8万,结束：2023-12-31,1.9万,9.6万,皇家小虎官方旗舰店,4.98,4.99,4.97,2023-04-18 21:45:54.717
"野人日记早餐速食魔芋燕麦鸡胸肉馅蒸饺多种方式蒸煮 冷冻500g/袋",29.9,30.0%,8.97,已售：9.4万,结束：2024-02-29,1.0万,4.9万,野人日记食品旗舰店,4.98,4.5,4.89,2023-04-18 21:45:54.832
"葆天和 藕节芦根汤原料 食用农产品藕节   一袋50克 一次一小袋",9.8,52.0%,5.1,已售：17.5万,结束：2024-06-01,3.6万,8.1万,拾草一汤食材店,4.99,4.98,4.54,2023-04-18 21:45:54.937
"俏二丫含钙淡干虾皮 宝宝爱吃 老少皆宜 虾皮 100克/瓶",29.0,50.0%,14.5,已售：45.3万,结束：2023-12-31,5885,2.9万,渔尚钩严选,4.99,4.99,4.76,2023-04-18 21:45:55.041
"鸿亮鸿亮新西兰牛肋排黑椒调理牛仔骨1200g可煎炒优选细嫩腌制",149.0,10.0%,14.9,已售：87.3万,结束：2023-05-31,,,鸿亮生鲜旗舰店,4.98,4.75,4.99,2023-04-18 21:45:55.147
"【谷香仁】粗粮粘豆包低脂代餐|无添加糖速食早餐100g*10个/23个",29.9,26.0%,7.77,已售：37.2万,结束：2024-04-03,1.4万,5.2万,谷香仁官方旗舰店,4.91,4.99,4.94,2023-04-18 21:45:55.248
"无上味觉鸡蛋灌饼20片健康营养早餐饼皮饼胚家用懒人食品闪电发货",29.9,27.0%,8.07,已售：185.6万,结束：2023-12-31,8653,5.1万,无上味觉生鲜旗舰店,4.99,4.93,4.9,2023-04-18 21:45:55.342
"【展艺】拉丝芝士碎 做炸锅披萨饼家用马苏里拉奶酪100g/包",33.8,27.0%,9.13,已售：137.8万,结束：2023-06-30,6661,4.2万,尚巧厨卖场旗舰店,4.99,4.93,4.99,2023-04-18 21:45:55.437
"邕桂妃多彩芋圆混合装椰奶鲜芋仙蜜豆西米露烧仙草水果捞半成品",18.9,30.0%,5.67,已售：158.1万,结束：2024-08-11,3.0万,7.1万,邕桂妃生鲜旗舰店,4.99,4.9,4.74,2023-04-18 21:45:55.539
"DR/冬日农家粗粮拉丝高梁糍粑纯糯米手工半成品独立包装湖南特产",13.8,40.0%,5.52,已售：73.4万,结束：2023-06-25,6266,6.2万,冬日官方旗舰店,4.96,4.96,4.71,2023-04-18 21:45:55.637
"中号临安天目山新鲜板栗小香薯产地直发包邮批发正宗软糯香甜5斤",29.9,16.0%,4.78,已售：21.4万,结束：2023-06-30,8065,7.3万,薯小萌旗舰店,4.75,4.59,4.82,2023-04-18 21:45:55.737
"圣农脆皮炸鸡250g皮脆肉酥多汁裹粉空气炸锅鸡肉半成品解馋零食dr",69.9,20.0%,13.98,已售：13.8万,结束：2023-05-11,5630,2.3万,圣农官方旗舰店,4.99,4.8,4.98,2023-04-18 21:45:55.827
"【10袋装】潮汕牛肉丸 爆汁牛筋丸 200g/袋 传统特产新鲜速冻丸子",99.0,33.0%,32.67,已售：14.3万,结束：2024-02-20,2132,9288,丸小明生鲜旗舰店,4.93,4.9,4.78,2023-04-18 21:45:55.917
"湖北秭归中华红橙血橙脐橙橙子甜橙5/9斤新鲜水果脆嫩爆汁香甜",15.9,18.0%,2.86,已售：19.1万,结束：2023-04-30,3861,10.5万,馨晟语恋生鲜旗舰店,4.76,4.77,4.44,2023-04-18 21:45:56.005
"【18支】西蒙小战斧法式原切羊排300g*3盒 聚餐露营 烧烤羔羊",139.9,18.0%,25.18,已售：6.8万,结束：2024-08-31,,,西蒙小战斧生鲜旗舰店,4.97,4.92,4.89,2023-04-18 21:45:56.089
"【连福记】2斤鲜肉蒸煎小笼包约52个加热即食早餐酱肉包速冻食品",23.9,20.0%,4.78,已售：15.8万,结束：2024-04-30,1.2万,6.1万,连福记食品店,4.86,4.79,4.65,2023-04-18 21:45:56.195
"小黄象黄油手抓饼正宗葱油葱花饼儿童营养早餐0反式脂肪酸100g/张",59.9,22.0%,13.18,已售：10.8万,结束：2023-05-31,4236,2.2万,小黄象食品旗舰店,4.99,4.99,4.98,2023-04-18 21:45:56.301
"宜久郎锅盔梅干菜猪肉味早餐速冻半成品煎饼冷冻生坯面饼能煎能烤",26.8,25.0%,6.7,已售：104.9万,结束：2023-07-30,7563,4.2万,宜久郎生鲜旗舰店,4.98,4.94,4.91,2023-04-18 21:45:56.402
"安徽龙耕御福缘五香烤鸭蛋10/20枚 流油咸鸭蛋整箱 顺丰包邮",29.9,18.0%,5.38,已售：49.7万,结束：2023-05-31,1.3万,5.2万,九思匠农食,4.98,4.98,4.93,2023-04-18 21:45:56.504
"圣农嘟嘟翅 爆汁鲜嫩解馋烤鸡翅中冷冻鸡肉新鲜半成品280g*3(dr)",89.9,18.0%,16.18,已售：35.9万,结束：2023-09-30,3787,1.7万,圣农官方旗舰店,4.99,4.8,4.98,2023-04-18 21:45:56.613
" 【坏果包赔】山东烟薯25号糖心蜜薯流油香甜红薯烤地瓜5斤/3斤",21.9,23.0%,5.04,已售：28.7万,结束：2023-05-31,1.3万,5.1万,张婆婆生鲜旗舰店,4.79,4.57,4.62,2023-04-18 21:45:56.721
"麻六记猪肉葱油饼鲜葱酥脆不油腻手抓饼家庭早餐90g/片*10片*2袋",69.9,20.0%,13.98,已售：1.8万,结束：2024-04-01,1715,,麻六记官方旗舰店,4.96,3.25,4.67,2023-04-18 21:45:56.822
"【0添加蔗糖】明星推荐虾皮山药芝麻饼 咸香酥脆营养美味200g/盒",79.0,30.0%,23.7,已售：19.5万,结束：2023-12-31,2386,1.1万,海豚港速食旗舰店,4.99,4.62,4.81,2023-04-18 21:45:56.925
"麻六记小旺肠纯肉肠地道原味黑胡椒味烤肠猪肉肠500g/10根/盒*3",99.9,20.0%,19.98,已售：46.6万,结束：2023-07-31,2742,1.3万,麻六记官方旗舰店,4.96,3.25,4.67,2023-04-18 21:45:57.026
"朴小样韩式裙带菜 出口品质高倍泡发干裙带菜100克/袋",19.9,45.0%,8.96,已售：231.3万,结束：2023-06-30,5912,3.0万,朴小样旗舰店,4.98,4.99,4.75,2023-04-18 21:45:57.136
"土爷驾到50枚高山散养土鸡蛋新鲜营养零激零抗包邮直达-2",78.0,20.0%,15.6,已售：8.3万,结束：2024-03-01,4942,1.7万,土爷驾到生鲜旗舰店,4.92,4.94,4.95,2023-04-18 21:45:57.226
"滋慕多烙馍春饼25张*1袋手工烙饼单饼早餐煎饼烙馍卷菜卷饼卷馍",13.8,30.0%,4.14,已售：28.6万,结束：2024-03-31,1.2万,6.2万,滋美多生鲜专营店,4.96,4.98,4.8,2023-04-18 21:45:57.307
"【2斤送2斤】狂丸正宗潮汕牛肉丸/牛筋丸子 严选实心牛丸到手16件",99.0,31.0%,30.69,已售：35.3万,结束：2024-01-04,2513,7983,狂丸官方旗舰店,4.9,4.99,4.95,2023-04-18 21:45:57.397
"林小二正宗鄱阳湖松花鸭皮蛋传统无铅工艺20枚1200克农家自制营养",39.9,17.0%,6.78,已售：3.5万,结束：2023-05-31,,,林小二食品旗舰店,4.75,4.84,4.86,2023-04-18 21:45:57.480
"【20年大牌】 狂丸正宗潮汕牛肉丸 爆汁牛筋丸 严选实心牛丸 4斤",99.0,25.0%,24.75,已售：38.5万,结束：2023-12-31,,,狂丸食品旗舰店,4.88,4.99,4.95,2023-04-18 21:45:57.566
"【推荐】正宗玉米粑粑手工包谷粑四川特产手工粗粮糍粑黄金年糕饼",29.8,22.0%,6.56,已售：3.7万,结束：2023-09-01,7452,,馋三香旗舰店,4.98,4.91,4.77,2023-04-18 21:45:57.662
"头层豆腐皮油豆皮五香卷皮春卷皮卷章皮馅料皮粿肉皮200g约30张",19.6,26.0%,5.1,已售：10.5万,结束：2023-10-07,1.4万,4.8万,豆产干货旗舰店,4.99,4.92,4.93,2023-04-18 21:45:57.755
"【味层香】卡通包子340g*4袋共40个馒头儿童早餐奶黄包猪猪包早餐",39.9,20.0%,7.98,已售：25.1万,结束：2023-06-30,3761,2.5万,味层香旗舰店,4.89,4.84,4.66,2023-04-18 21:45:57.843
"【推荐】竹叶小黄粑 四川特产纯手工黄金爆浆糯米糍粑小吃10个/袋",21.8,31.0%,6.76,已售：21.8万,结束：2023-06-30,8335,3.4万,馋三香旗舰店,4.98,4.91,4.77,2023-04-18 21:45:57.924
"[国虹推荐]国虹富硒可生食鲜鸡蛋10枚[顺丰包邮]无菌天然农产品",24.8,21.0%,5.21,已售：6.2万,结束：2023-07-12,,,国虹生鲜旗舰店,4.98,4.99,4.73,2023-04-18 21:45:58.024
" 大黄鲜森进口原切精修牛肋排块谷饲安格斯新鲜冷冻牛排骨包邮",139.0,12.0%,16.68,已售：20.3万,结束：2023-11-30,1714,1.3万,大黄鲜森官方旗舰店,4.91,4.92,4.97,2023-04-18 21:45:58.123
"【爆款推荐】头厨苏州糯米蛋黄芝士纸皮烧麦早餐速食手工烧卖冷冻",49.9,25.0%,12.48,已售：39.2万,结束：2023-07-30,3101,1.7万,头厨官方旗舰店,4.99,4.99,4.99,2023-04-18 21:45:58.209
" 湖北秭归伦晚脐橙3/5/9斤新鲜鲜橙应季爆汁甜橙伦晚橙春橙橙子",19.9,18.0%,3.58,已售：6.0万,结束：2023-05-31,,,馨晟语恋生鲜旗舰店,4.76,4.77,4.44,2023-04-18 21:45:58.306
"【爆款推荐】头厨嵊州老面小笼包早餐速食半成品包子速冻小笼包",45.9,25.0%,11.48,已售：18.2万,结束：2023-07-30,3547,1.8万,头厨官方旗舰店,4.99,4.99,4.99,2023-04-18 21:45:58.412
"澳洲/美国原切谷饲中青年牛板腱牛排1000g一大包4小袋5-8片",149.0,17.0%,25.33,已售：2.2万,结束：2024-01-31,,,鲜会鲜生鲜旗舰店,4.98,4.99,4.97,2023-04-18 21:45:58.518
"乡野人家【麻酱鸡蛋】蓟州特产流心五香熟蛋松沙流油新鲜健康营养",33.9,13.0%,4.41,已售：25.1万,结束：2025-05-01,1.5万,4.1万,乡野人家生鲜旗舰店,4.99,4.99,4.71,2023-04-18 21:45:58.612
"山东平原恩城签子馒头老面馒头呛面工艺家乡的味道传统发酵劲道",22.8,18.0%,4.1,已售：4.2万,结束：2023-04-30,3928,,长玖旗舰店,4.93,4.86,3.44,2023-04-18 21:45:58.714
"粮全其美草头饼80g*5片*4包早餐冷冻速食煎饼速冻",49.9,25.0%,12.48,已售：1.4万,结束：2023-09-30,2689,1.5万,粮全其美官方旗舰店,4.96,4.85,4.94,2023-04-18 21:45:58.819
"【250g*2瓶】龙老师香辣木瓜丝广西木瓜丁下饭菜青木瓜酱菜脆咸菜",19.9,30.0%,5.97,已售：62.9万,结束：2023-11-30,7533,3.0万,龙老师旗舰店,4.99,4.9,4.76,2023-04-18 21:45:58.926
"【牛五福】2-4人套餐正宗潮汕牛肉火锅套餐火锅食材5份",219.0,21.0%,45.99,已售：1.7万,结束：2024-06-30,582,3446,荃牛堂,4.74,4.97,4.94,2023-04-18 21:45:59.036
"[有机食品]  黄金奶油富士  山东烟台栖霞  脆甜多汁 5斤10斤",33.9,22.0%,7.46,已售：7.6万,结束：2023-04-30,680,2.2万,栖霞苹果儿,4.41,4.14,4.65,2023-04-18 21:45:59.132
"家好正宗潮汕牛肉丸牛筋丸Q弹爆汁新鲜食材火锅速冻丸子特产美食",59.0,30.0%,17.7,已售：6.5万,结束：2024-02-04,1716,9614,BESTHOME生鲜旗舰店,4.91,4.92,4.75,2023-04-18 21:45:59.204
"齐函杨佳齐齐哈尔烤肉新鲜牛肉家庭烤肉半成品菜韩式烤肉优质组合",139.0,8.0%,11.12,已售：50.1万,结束：2023-08-27,3444,1.5万,齐函杨佳官方旗舰店,4.99,4.99,4.93,2023-04-18 21:45:59.286
"御徽缘（顺丰冷链）梅菜扣肉300g*5盒纯五花肉加热即食无防腐剂",59.9,22.0%,13.18,已售：1.2万,结束：2024-04-30,,,小橙优选企业店,4.91,4.95,4.94,2023-04-18 21:45:59.360
"俊杰爆汁拇指生煎包（100个）",36.8,25.0%,9.2,已售：4.1万,结束：2024-05-31,3081,1.9万,俊杰生鲜旗舰店,4.99,4.86,4.92,2023-04-18 21:45:59.440
"湖北新鲜紫罗兰紫薯紫色番薯香甜粉糯红薯宝宝辅食粗粮地瓜3斤5斤",18.5,26.0%,4.81,已售：8.3万,结束：2024-02-29,4621,3.4万,三生三世桃花故里生鲜旗舰店,4.85,4.96,4.75,2023-04-18 21:45:59.532
"【精品】山东现摘脆嫩水果玉女拇指黄瓜1/3/5斤",16.9,20.0%,3.38,已售：24.4万,结束：2023-05-31,8234,4.9万,北斗熊旗舰店,4.82,4.32,4.46,2023-04-18 21:45:59.617
"甜小南南瓜礼盒4.9斤/4.6斤/3.8斤/2.8斤 粉糯香甜板栗味",39.8,22.0%,8.76,已售：30.1万,结束：2023-05-31,4183,1.9万,甜小南旗舰店,4.98,4.98,4.9,2023-04-18 21:45:59.707
"【12厂直发】美粮坊老上海正宗葱油饼松软酥脆速冻半成品900g/袋",26.8,25.0%,6.7,已售：65.2万,结束：2023-07-30,3791,2.4万,美粮坊官方旗舰店,4.88,4.82,4.97,2023-04-18 21:45:59.802
"新鲜现做宁波特产水磨年糕3斤/5斤真空包装 软糯Q弹有嚼劲",19.9,33.0%,6.57,已售：108.1万,结束：2023-07-01,5114,2.4万,味来味趣专营店,4.97,4.54,4.47,2023-04-18 21:45:59.889
"SLF【坏果包赔】山立方沂蒙山沙地紫薯山东紫罗兰新鲜番薯3/5/9斤",19.8,16.0%,3.17,已售：36.3万,结束：2024-05-31,8550,4.9万,山立方生鲜旗舰店,4.93,4.95,4.72,2023-04-18 21:45:59.980
"猫小娜-压缩烘干有机海带苗片干净无沙7.5克独立包装凉拌火锅食材",29.9,30.0%,8.97,已售：101.0万,结束：2023-07-31,2844,1.7万,猫小娜旗舰店,4.98,4.97,4.59,2023-04-18 21:46:00.081
"诸暨特产  三凯五彩年糕果蔬年糕软糯香糯网红年糕脆皮年糕新鲜",14.9,19.0%,2.83,已售：5.1万,结束：2024-06-30,1.1万,,三凯食品个体店,4.97,4.76,4.78,2023-04-18 21:46:00.170
"滋慕多烙馍春饼500g*1袋手工烙饼单饼早餐煎饼劲道冷冻食品食用",13.8,30.0%,4.14,已售：7.9万,结束：2023-12-31,5954,,滋慕多生鲜旗舰店,4.98,4.97,4.81,2023-04-18 21:46:00.260
"日本进口 北海道原装纳豆即食拉丝山大纳豆 3组12盒 拌饭发酵激酶",59.0,20.0%,11.8,已售：36.2万,结束：2023-09-23,3614,1.3万,淘鲜生鲜专营店,4.99,4.99,4.98,2023-04-18 21:46:00.374
"【一包全家吃一餐】压缩紫菜无沙免洗宝宝头水有机紫菜 10包/盒",29.9,40.0%,11.96,已售：13.8万,结束：2023-12-31,,,鱼百鲜生鲜旗舰店,4.99,4.98,4.74,2023-04-18 21:46:00.479
"【鲜道甄选】【变黄再吃】海南金钻凤梨4.5-8斤新鲜当季 产地直发",36.9,16.0%,5.9,已售：4.5万,结束：2023-05-31,5082,2.4万,鲜道甄选,4.69,4.97,4.28,2023-04-18 21:46:00.597
"手剥笋开袋即食500g香辣笋尖泡椒脆笋三种口味鲜嫩鲜脆新鲜",15.9,20.0%,3.18,已售：28.9万,结束：2024-05-01,8239,4.6万,鲜原生食农产品商行,4.91,4.8,4.73,2023-04-18 21:46:00.701
"大丰斋玉米馒头五谷杂粮包早餐玉米味儿童面点杂粮包速冻食品点心",14.9,23.0%,3.43,已售：15.8万,结束：2025-05-01,6211,4.1万,大丰斋旗舰店,4.99,4.75,4.65,2023-04-18 21:46:00.811
"山猫超人【8盒巨划算】泰国金枕榴莲无核果肉100g/盒",169.0,13.0%,21.97,已售：37.1万,结束：2023-06-30,,,山猫超人旗舰店,4.98,4.99,4.64,2023-04-18 21:46:00.926
"【粉丝专属】九里京蒲烧鳗鱼加热即食500g三种包装随机发",86.0,20.0%,17.2,已售：16.2万,结束：2023-09-30,,,九里京生鲜旗舰店,4.97,4.43,4.63,2023-04-18 21:46:01.037
"雷小厨丹东磷虾肉一箱100克/袋【拍一发五】",39.9,30.0%,11.97,已售：9.9万,结束：2024-12-31,774,7141,雷小厨的小店,4.91,4.78,4.67,2023-04-18 21:46:01.125
"【狮头鹅七拼】正宗潮汕卤鹅狮头鹅卤味卤水拼盘约650g  下单切好",158.0,23.0%,36.34,已售：2.6万,结束：2024-04-30,,,佬味到生鲜旗舰店,4.79,4.98,4.91,2023-04-18 21:46:01.199
"五香鸡胗【两包实惠】网红卤味开袋即食下酒菜",46.9,21.0%,9.85,已售：2.8万,结束：2024-06-30,,,李集镇子麟食品商城个体店,4.93,4.7,4.47,2023-04-18 21:46:01.284
"临安天目山小香薯5斤中果（中果30—150克5斤约20-45个）新鲜自种",29.9,13.0%,3.89,已售：3.9万,结束：2023-04-30,6364,3.5万,二食肆,4.84,4.95,4.91,2023-04-18 21:46:01.386
"皇家小虎小胖子油条半成品空气炸锅早餐速食面点懒人食品火锅食材",26.9,30.0%,8.07,已售：150.3万,结束：2023-06-30,2873,1.7万,皇家小虎官方旗舰店,4.98,4.99,4.97,2023-04-18 21:46:01.487
"【5分钟加热即食】幸福西饼披萨早餐速食半成品榴莲美食健康计划",69.8,20.0%,13.96,已售：14.4万,结束：2023-04-30,2000,9948,幸福西饼烘焙旗舰店,4.87,4.98,4.98,2023-04-18 21:46:01.584
"【顺丰包邮】正宗新疆阿克苏冰糖心苹果4.5-5斤/礼盒12枚装脆苹果",46.8,16.0%,7.49,已售：10.1万,结束：2023-04-30,2980,1.8万,甘福园官方旗舰店,4.52,4.99,4.5,2023-04-18 21:46:01.687
"中号5斤临安天目山板栗小香薯新鲜沙地红薯地瓜黄心薯山芋糯香甜",29.9,17.0%,5.08,已售：60.9万,结束：2023-06-30,4265,2.7万,薯小萌旗舰店,4.75,4.59,4.82,2023-04-18 21:46:01.797
"广西特产烤海鸭蛋流油海鸭蛋红泥腌制真空包装个大流油20枚/箱",69.0,31.0%,21.39,已售：1.8万,结束：2024-05-31,,,比特福优选,4.91,4.37,4.72,2023-04-18 21:46:01.894
"主播专享 拇指生煎包网红小吃迷你珍珠小笼包速食速冻方便早餐",25.9,25.0%,6.48,已售：4.7万,结束：2023-06-30,1833,2.0万,大河之阳生鲜旗舰店,4.99,4.88,4.53,2023-04-18 21:46:02.006
"【大促专享】早餐速食3条装广式肠粉 买3袋送3袋 5分钟方便即食",59.9,30.0%,17.97,已售：6.2万,结束：2023-08-14,599,7391,立秦生鲜旗舰店,4.85,4.9,4.56,2023-04-18 21:46:02.111
"香嫩盐焗鸡正宗特产整鸡老母鸡肉手撕加热即食中空包装800-1000g",58.99,18.0%,10.62,已售：2.1万,结束：2024-03-31,1167,,湘嘉优选,4.96,4.94,4.76,2023-04-18 21:46:02.215
"【轻食】翔泰新鲜海南鲷鱼片1kg*2 去骨去刺4斤 干净饱满鲜嫩肉质",109.0,18.0%,19.62,已售：10.8万,结束：2023-04-30,344,6402,翔泰XIANGTAI官方旗舰店,4.99,4.98,4.92,2023-04-18 21:46:02.328
"麻六记宫保鸡丁半成品菜速食冷冻酱爆鸡丁预制菜肴350g*3袋",69.9,20.0%,13.98,已售：3.7万,结束：2023-12-31,1520,8505,麻六记官方旗舰店,4.96,3.25,4.67,2023-04-18 21:46:02.444
"不花心鲜剥虾仁【200g x5包】大个（31/40）去壳去肠冷冻鲜剥虾仁",129.0,20.0%,25.8,已售：3.8万,结束：2023-12-31,735,,不花心生鲜旗舰店,4.99,4.88,4.69,2023-04-18 21:46:02.570
"肉大哈高品质无蔗糖鲜蔬膳食肠宝宝营养鲜嫩蔬菜肠煎炸250g/袋",39.8,25.0%,9.95,已售：1.3万,结束：2024-11-01,572,1.2万,肉大哈旗舰店,4.76,4.99,4.81,2023-04-18 21:46:02.683
"【送礼佳品】和风扇物 酱鸭舌 温州特产鸭舌头 生的 80-90根/1斤",149.0,21.0%,31.29,已售：16.3万,结束：2024-01-31,926,3768,和风扇物旗舰店,4.99,4.79,4.98,2023-04-18 21:46:02.791
"赣浔名厨【工厂直销】香卤肥肠200g*4袋半成品免洗加热即食猪大肠",116.0,20.0%,23.2,已售：5.7万,结束：2024-02-29,947,5264,博莱生鲜旗舰店,4.99,4.99,4.99,2023-04-18 21:46:02.944
"麻六记鱼香肉丝半成品即食预制菜肴方便菜袋鲜嫩下饭冷冻350g*3",69.9,20.0%,13.98,已售：5.5万,结束：2023-07-31,3033,9008,麻六记官方旗舰店,4.96,3.25,4.67,2023-04-18 21:46:22.134
"广西 时令西瓜红蜜薯5斤装 新鲜现挖红薯皮薄农家种植农产品地瓜",19.9,17.0%,3.38,已售：4.0万,结束：2024-04-30,,,引力波生鲜专营店,4.95,4.98,4.66,2023-04-18 21:46:22.241
"【正宗土坛泡菜】王婆家传统老坛泡菜800g（拍2罐送60克辣椒油）",23.8,28.0%,6.66,已售：26.9万,结束：2023-11-30,3891,1.8万,高兴寨生态食品,4.87,4.89,4.73,2023-04-18 21:46:22.338
"锦年地道肠火山石烤肠6袋60根",39.9,18.0%,7.18,已售：2.4万,结束：2023-12-03,2157,1.4万,艾熙雅锦年食品专卖店,4.88,4.48,4.75,2023-04-18 21:46:22.433
"【顺丰/京东包邮】福建软芭乐红心芭乐番石榴酸甜现摘水果3/4.5斤",36.9,15.0%,5.54,已售：6.4万,结束：2023-08-31,4746,2.0万,心农园企业店,4.82,4.96,4.64,2023-04-18 21:46:22.524
"【3袋装 视频同款】海南正宗椰子鸡火锅文昌鸡散养母土鸡海蓝厨房",149.0,20.0%,29.8,已售：1.4万,结束：2023-06-30,806,3386,海蓝厨房生鲜旗舰店,4.93,4.96,4.97,2023-04-18 21:46:22.625
"瑾贝【D主播推荐】十三天金凤活珠子五香钢化蛋鸡胚蛋喜蛋10-40枚",19.9,23.0%,4.58,已售：24.5万,结束：2023-09-12,4461,2.4万,瑾贝生鲜旗舰店,4.97,4.98,4.64,2023-04-18 21:46:22.718
"海蓝厨房海南文昌椰子鸡汤套餐火锅小母鸡散养生鲜3-4人份包邮",128.0,20.0%,25.6,已售：30.6万,结束：2023-06-01,940,4185,海蓝厨房旗舰店,4.89,4.96,4.98,2023-04-18 21:46:22.816
"【推荐】正宗桂花糕 传统手工糕点 黄金糯米发糕特产早餐点心小吃",26.8,26.0%,6.97,已售：1.6万,结束：2023-09-01,4812,,馋三香旗舰店,4.98,4.91,4.77,2023-04-18 21:46:22.939
"雄丰地道肠500g*4袋共32根装纯火山石烤肠香肠肉肠热狗肠脆皮肠",69.6,20.0%,13.92,已售：22.4万,结束：2024-03-07,1633,7893,雄丰旗舰店,4.99,4.67,4.99,2023-04-18 21:46:23.034
"黄糯玉米220g/8根装 东北黑龙江黑土地鲜食真空香甜糯甜玉米大棒",29.9,15.0%,4.48,已售：8.0万,结束：2023-10-31,7339,2.5万,林谷鲜生鲜旗舰店,4.85,4.95,4.62,2023-04-18 21:46:23.129
"【正宗】四川特产小黄粑 竹叶糕糯米糍粑网红美食香糯小吃10个/袋",9.9,30.0%,2.97,已售：8.6万,结束：2023-09-01,9060,3.7万,馋三香旗舰店,4.98,4.91,4.77,2023-04-18 21:46:23.232
"霞浦压缩烘干海带丝片干净无沙22克独立包装厂家直发凉拌火锅食材",5.8,40.0%,2.32,已售：38.3万,结束：2023-05-31,7944,,霞浦县郑司农食品商行,4.99,4.85,4.61,2023-04-18 21:46:23.337
