商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"薏凡特固定杯运动内衣女高强度防震背心前拉链透气速干外穿美背",259.0,30.0%,77.7,已售：2.6万,结束：2024-03-31,65,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:17.912
"自动精密测量围尺腰围尺 三围尺 臂围腿围腹围体围头围测量软尺",9.9,51.0%,5.05,已售：76.2万,结束：2023-05-31,3.2万,9.7万,智林百货,4.97,4.6,4.92,2023-04-18 21:13:18.018
"Sbeauty隐形硅胶运动胸贴女夏薄婚纱吊带用有胶乳贴防凸点薄款",49.0,25.0%,12.25,已售：4.9万,结束：2023-05-01,1.8万,,Sbeauty旗舰店,4.99,4.18,4.69,2023-04-18 21:13:18.118
"【亚亚推荐】康思品牌2023新款太阳镜女士墨镜时尚圆脸偏光眼镜",29.9,52.0%,15.55,已售：11.0万,结束：2023-11-10,504,1.8万,量擎优选,4.96,4.67,4.77,2023-04-18 21:13:18.230
"电动车座套坐垫网套防晒坐套通用隔热透气电瓶车座垫夏季耐磨舒适",13.9,48.0%,6.67,已售：8.1万,结束：2025-03-31,1.5万,6.3万,涵将百货个体店,4.98,4.92,4.63,2023-04-18 21:13:18.330
"【7.9元20条】漱口水便携旅行漱口水清新果味一次性漱口水学生党",7.9,42.0%,3.32,已售：125.9万,结束：2023-12-16,1.7万,12.2万,西尚优选,4.99,4.9,4.6,2023-04-18 21:13:18.430
"LOTTO/乐途达人专属【层峦情侣鞋】23新款时尚复古潮流运动休闲鞋",279.0,20.0%,55.8,已售：4362,结束：2024-03-31,,,LOTTO乐途官方旗舰店,4.76,4.83,3.67,2023-04-18 21:13:18.534
"【别让手机毁了孩子】乒乓球训练器，提高孩子动手能力！专注力！",29.9,41.0%,12.26,已售：59.0万,结束：2023-12-02,5207,2.7万,三小爆品精选,4.88,4.88,4.96,2023-04-18 21:13:18.642
"【专业运动护膝】夏季透气，硅胶减震跑步健身瑜伽运动篮球保护具",79.0,47.0%,37.13,已售：7.8万,结束：2023-05-07,,,星健健身中心,4.92,4.9,4.89,2023-04-18 21:13:18.748
"萨拉曼公路缓震跑鞋运动鞋橡胶运动透气跑步防滑减震避震96999",199.0,30.0%,59.7,已售：1.4万,结束：2023-04-30,,,萨拉曼运动装备旗舰店,4.98,4.93,4.49,2023-04-18 21:13:18.849
"9.9M/4个头发蓬松器颅顶垫高垫发根夹垫发夹蓬松夹",9.9,41.0%,4.06,已售：11.0万,结束：2024-04-30,,,萤火虫百货,4.92,4.97,4.82,2023-04-18 21:13:18.948
"户外用品野餐垫沙滩帐篷垫子防潮垫加厚便携春游垫可折叠耐磨D",29.9,50.0%,14.95,已售：2.3万,结束：2023-07-11,3121,,虎哥严选,4.91,4.98,4.81,2023-04-18 21:13:19.029
"博舒健电子计数握力器男女手指训练器练指力锻炼握力圈",9.9,38.0%,3.76,已售：32.8万,结束：2024-02-29,1.5万,,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:13:19.110
"烧烤炉户外野餐露营抽拉式便捷碳槽烧烤木炭家用折叠式烧烤工具",39.9,23.0%,9.18,已售：2.0万,结束：2023-06-30,2452,,伟科户外专营店,4.92,4.8,4.89,2023-04-18 21:13:19.189
"薏凡特胖MM大码运动内衣前置拉链高强度运动背心防震防下垂薄款",269.0,30.0%,80.7,已售：2981,结束：2024-03-28,235,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:19.268
"【专柜正品】电动车座套 防水防晒防划 四季通用",19.9,51.0%,10.15,已售：2.7万,结束：2023-08-31,,,悦惠精选小店,4.87,4.83,4.97,2023-04-18 21:13:19.355
"Lukoufitness足弓训练器",49.8,51.0%,25.4,已售：2.4万,结束：2024-03-01,299,,Lukoufitness健身器材店,4.95,3.16,4.99,2023-04-18 21:13:19.431
"儿童悬挂式乒乓球训练器室内亲子锻炼视力手眼协调",9.9,45.0%,4.46,已售：35.5万,结束：2023-08-18,3228,4.0万,梅子爱分享,4.99,4.93,4.6,2023-04-18 21:13:19.512
"劳拉之星LS1192平衡垫核心训练软塌瑜伽平板支撑加厚脚踝稳定",65.0,37.0%,24.05,已售：4.4万,结束：2024-02-15,,,劳拉之星 LARA STAR,4.97,4.53,4.97,2023-04-18 21:13:19.600
"【2023爆款】女式墨镜太阳镜偏光眼镜 时尚显气质更显年轻！！",29.9,52.0%,15.55,已售：20.8万,结束：2023-10-21,3454,1.3万,量擎优选,4.96,4.67,4.77,2023-04-18 21:13:19.690
"博舒健新款无绳计数跳绳运动健身室内负重款两用大球跳绳钢丝绳",19.8,50.0%,9.9,已售：52.7万,结束：2023-06-09,3533,1.9万,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:13:19.777
"【可调节握力器】指力臂力训练 舒适黑色马卡龙色机械计数握力器",19.9,31.0%,6.17,已售：10.6万,结束：2023-12-02,1.7万,3.1万,街边体育,4.89,4.86,4.86,2023-04-18 21:13:19.866
"【原始人天际天幕】黑胶天幕帐篷户外网红野营遮阳棚防晒八角蝶形",205.0,9.0%,18.45,已售：1.5万,结束：2023-07-31,,,原始人官方旗舰店,4.79,4.5,4.76,2023-04-18 21:13:19.965
"OULLA欧拉秋冬新款连帽加绒加厚外套拉链运动穿指保暖卫衣3506",149.0,30.0%,44.7,已售：6.5万,结束：2023-12-31,31,1595,OULLA欧拉运动健身旗舰店,4.97,4.97,4.72,2023-04-18 21:13:20.061
"爱喜健身11件套弹力绳拉力带健身弹力带胸肌训练阻力绳男女锻炼",35.0,53.0%,18.55,已售：2.3万,结束：2024-10-01,,,爱喜健身体育用品,4.92,4.89,4.95,2023-04-18 21:13:20.154
"腋下吸汗贴腋窝夏季止汗贴神器女胳肢窝出汗隔汗防汗贴超薄隐形垫",12.9,55.0%,7.1,已售：2.4万,结束：2023-05-31,,,娜美优品,4.98,4.95,4.75,2023-04-18 21:13:20.248
"贵人鸟鞋子男休闲鞋透气男女情侣飞织时尚百搭潮流运动鞋跑步鞋",179.0,20.0%,35.8,已售：6.6万,结束：2024-03-31,,,贵人鸟惠运动装备专卖店,4.83,4.77,4.75,2023-04-18 21:13:20.349
"腋下吸汗贴腋窝夏季止汗贴神器女胳肢窝出汗隔汗防汗贴超薄隐形垫",9.9,52.0%,5.15,已售：4.7万,结束：2023-12-31,1.2万,,舒夏,4.99,4.89,4.95,2023-04-18 21:13:20.453
"【钓甲鱼钩10套】钓水鱼钩甲鱼钩黑鱼钩【采用大力马线】有说明书",49.9,58.0%,28.94,已售：7.5万,结束：2024-01-31,1166,5305,吉安户外小富渔具店,4.96,3.62,4.94,2023-04-18 21:13:20.554
"啄木鸟冰丝防晒衣大帽檐夏季透气防紫外线女款外穿男款钓鱼防晒服",59.9,10.0%,5.99,已售：13.7万,结束：2023-06-30,1.1万,,啄木鳥乱石专卖店,4.88,4.96,4.75,2023-04-18 21:13:20.658
"GYMDOG美式条纹纯色健身短袖男篮球跑步速干弹力运动T恤训练衣服",69.0,25.0%,17.25,已售：1.6万,结束：2023-04-30,1343,,GYMDOG健身潮牌,4.91,4.68,4.94,2023-04-18 21:13:20.747
"博舒健儿童悬挂式乒乓球训练器一键回收亲子锻炼训练器材",9.9,50.0%,4.95,已售：7.5万,结束：2023-06-30,7940,,博舒健运动健身旗舰店,4.99,4.67,4.87,2023-04-18 21:13:20.820
"【9.9元买一送一】多功能家用机械轴承滑轮润滑油Z",9.9,53.0%,5.25,已售：54.5万,结束：2023-06-30,,,迷糊家居,4.9,4.8,4.54,2023-04-18 21:13:20.890
"【超值9.9元】硅胶雨鞋套男女防滑加厚耐磨便携雨鞋套四季通用",9.9,42.0%,4.16,已售：3.2万,结束：2023-12-01,,,妍宴百货,4.99,4.94,4.9,2023-04-18 21:13:20.969
"撞色新款狼牙按摩棒 肌肉放松齿轮棒 跳绳瑜伽健身跑步按摩齿轮棒",29.8,50.0%,14.9,已售：15.3万,结束：2024-02-29,,,悦动的小店,4.94,4.15,4.57,2023-04-18 21:13:21.055
"塞北狼氨基酸米窝开口窝料底窝垂钓野钓钓鱼打窝池塘鲫鱼窝料",2.0,28.0%,0.56,已售：137.3万,结束：2023-12-31,,,天狼星钓具,4.79,4.51,4.98,2023-04-18 21:13:21.132
"【福利】简约纯色舒适袜子女 中筒日系堆堆袜 运动月子潮袜黑白",18.8,29.0%,5.45,已售：55.2万,结束：2023-10-31,5058,2.2万,幻桐供应链,4.95,4.91,4.87,2023-04-18 21:13:21.218
"劳拉之星LS0084室内运动鞋居家运动鞋跑步机瑜伽健身鞋防滑软底训",39.0,42.0%,16.38,已售：19.0万,结束：2024-02-15,,,劳拉之星 LARA STAR,4.97,4.53,4.97,2023-04-18 21:13:21.308
"博舒健四代无绳计数跳绳运动健身室内负重两用大球负重款",29.8,45.0%,13.41,已售：2.8万,结束：2024-02-29,,,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:13:21.387
"必迈新款远征者4.0运动休闲软弹轻便透气舒适跑步慢跑鞋-XRPG009",399.0,27.0%,107.73,已售：8441,结束：2024-03-31,31,659,必迈BMAI官方旗舰店,4.99,4.99,4.99,2023-04-18 21:13:21.477
"Mizuno美津浓男女2023春季新款软底老爹鞋透气复古跑步鞋SPEED 2K",288.0,18.0%,51.84,已售：3567,结束：2023-09-30,1567,,Mizuno美津浓官方旗舰店,4.77,4.41,4.99,2023-04-18 21:13:21.576
"【旅彻】户外折叠椅子送收纳袋便携超轻",19.9,15.0%,2.98,已售：9.2万,结束：2024-08-31,,,旅彻商贸,4.95,4.52,4.85,2023-04-18 21:13:21.663
"拓路者钓鱼防晒衣男女遮阳防紫外线夏季透气薄款户外防晒服外穿",179.0,20.0%,35.8,已售：3669,结束：2023-04-30,1253,,拓路者PIONEER CAMP旗舰店,4.99,4.99,4.97,2023-04-18 21:13:21.758
"天火黑猫超亮强光手电筒户外远射露营装备家用白激光便携可充电式",99.0,8.0%,7.92,已售：3.0万,结束：2023-05-31,,,天火SKY FIRE官方旗舰店,4.65,4.99,4.96,2023-04-18 21:13:21.863
"薏凡特大码专属 高强度前拉链  后背网纱拼接透气 运动背心女  ",209.0,30.0%,62.7,已售：1.2万,结束：2023-12-31,102,993,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:21.961
"【买10送10】防磁银行卡套透明卡套饭卡公交卡套身份证套保护套",9.9,48.0%,4.75,已售：31.8万,结束：2023-10-10,3187,2.3万,胖胖日用百货商行个体店,4.99,4.93,4.6,2023-04-18 21:13:22.049
"品健呼啦圈女士健身锻炼专用加粗硬海绵舒适不伤腰健身呼啦圈LC",26.8,20.0%,5.36,已售：1.8万,结束：2023-10-10,,,品健健身训练旗舰店,4.79,4.96,4.57,2023-04-18 21:13:22.149
"【捷途】户外防潮坐垫可折叠野餐防水隔热坐垫露营防潮垫方便耐磨",9.9,35.0%,3.46,已售：18.7万,结束：2024-02-01,2609,2.7万,势得严选好物,4.92,4.76,4.77,2023-04-18 21:13:22.240
"智能计时计数跳绳运动健身负重无绳大球两用跳绳无绳跳绳钢丝绳",19.9,51.0%,10.15,已售：8.8万,结束：2024-01-31,743,8993,双超严选,4.98,4.97,4.73,2023-04-18 21:13:22.334
"千源便携雨鞋套男女雨天防水防滑加厚耐磨防雨硅胶水鞋雨靴",19.9,35.0%,6.96,已售：22.1万,结束：2023-12-28,1880,1.4万,千源小店,4.9,4.87,4.71,2023-04-18 21:13:22.442
"【宠粉福利】太阳镜墨镜时尚百搭黑色个性户外防风骑行ins遮阳",3.99,18.0%,0.72,已售：12.9万,结束：2024-04-01,,,刷爆他的卡,4.73,4.78,4.54,2023-04-18 21:13:22.534
"【到手100只】万邦汉方圆形防水贴隐形防磨户外脚后跟一次性",9.9,35.0%,3.46,已售：2.9万,结束：2023-06-30,6403,,万邦汉方官方旗舰店,4.96,4.66,4.77,2023-04-18 21:13:22.609
"运动塑腰带2023新款轻便防水女士护腰男女通用跑步健身深蹲运动",45.9,60.0%,27.54,已售：3632,结束：2025-04-30,,,妙欧贝严选,4.97,4.92,4.77,2023-04-18 21:13:22.681
"博舒健无绳大球跳绳成人练习健身负重运动专用绳子无绳球长绳",9.9,35.0%,3.46,已售：12.4万,结束：2023-06-30,9708,2.6万,博舒健官方旗舰店,4.99,4.79,4.66,2023-04-18 21:13:22.762
"小兔子冰丝防晒衣夏季遮阳防紫外线防晒服轻薄透气2023新款皮肤衣",29.9,23.0%,6.88,已售：9.0万,结束：2024-03-30,6838,1.3万,律品严选,4.92,4.95,4.96,2023-04-18 21:13:22.839
"劳拉之星LS0353运动护膝女跑步跳绳羽毛球跳操专业护具膝盖半月板",69.0,37.0%,25.53,已售：2.9万,结束：2024-02-15,,,劳拉之星 LARA STAR,4.97,4.53,4.97,2023-04-18 21:13:22.916
"【达人】引擎鸟羽蝶内衣透气防磨跑步背心健身运动文胸美背防震",149.0,15.0%,22.35,已售：1.0万,结束：2024-11-30,1179,2928,引擎鸟旗舰店,4.93,4.97,4.68,2023-04-18 21:13:22.999
"威拓森 战神线组成品主线组绑好鱼线线组套装全套钓鱼高端手绑",19.8,25.0%,4.95,已售：5.4万,结束：2023-04-30,4963,1.9万,威拓森官方旗舰店,4.99,4.59,4.62,2023-04-18 21:13:23.080
"云飞鱼台钓线组钓鱼线正品绑好成品草鱼鲢鳙专用线pe加固纯手工",4.9,28.0%,1.37,已售：9.5万,结束：2023-05-28,2006,,云飞鱼运动户外旗舰店,4.88,4.81,4.98,2023-04-18 21:13:23.165
"【官旗】子初护脐贴防水透气洗澡贴 10片/盒儿童防护",12.9,25.0%,3.22,已售：11.0万,结束：2024-03-31,6822,2.8万,子初官方旗舰店,4.97,4.97,4.65,2023-04-18 21:13:23.251
"隐形硅胶运动胸贴女夏薄吊带有胶防凸点",49.0,23.0%,11.27,已售：2.0万,结束：2024-02-11,,,Sbeauty旗舰店,4.99,4.18,4.69,2023-04-18 21:13:23.340
"轮滑鞋儿童溜冰鞋女童男童初学者正品可调节成人专业品牌滑冰旱冰",179.0,20.0%,35.8,已售：5.3万,结束：2023-06-30,495,2075,贵派仕旗舰店,4.82,4.09,4.61,2023-04-18 21:13:23.427
"天火探月超亮强光手电筒户外露营装备大全远射可充电家用耐用便携",99.0,8.0%,7.92,已售：2.8万,结束：2023-05-31,,,天火SKY FIRE官方旗舰店,4.65,4.99,4.96,2023-04-18 21:13:23.511
"中逵鲜丹生鲜饵鲫鱼鲤鱼草鱼青鱼罗非红虫蚯蚓香腥味鱼饵黑坑饵料",19.9,36.0%,7.16,已售：2.2万,结束：2024-04-30,1627,1.1万,中逵官方旗舰店,4.26,4.95,4.99,2023-04-18 21:13:23.609
"【踏山3.0】斯凯奇男鞋健步鞋乐福鞋运动休闲懒人套脚男鞋216141",329.0,12.0%,39.48,已售：1648,结束：2023-04-30,,,斯凯奇泉州专卖店,4.83,4.85,4.64,2023-04-18 21:13:23.708
"【粉丝福利】牛津布户外折叠椅送加厚收纳袋",19.9,17.0%,3.38,已售：3.7万,结束：2023-08-31,2240,,龙浩户外严选,4.94,4.35,4.51,2023-04-18 21:13:23.799
"真400灯珠!三色防水多用补光灯拍摄直播露营地灯户外灯夜市地摊灯",168.0,19.0%,31.92,已售：2669,结束：2023-09-30,684,2486,锐塔克RTAKO,4.87,4.97,4.88,2023-04-18 21:13:23.899
"MiiOW/猫人冰丝石墨烯裆速干运动四角无痕薄款抗菌裆男生款内裤",59.9,34.0%,20.37,已售：3.6万,结束：2024-01-27,577,3584,猫人优选女装旗舰店,4.98,4.95,4.6,2023-04-18 21:13:24.005
"电动摩托车儿童安全带骑行坐电瓶车宝宝绑带小孩背带防摔带娃神器",25.8,46.0%,11.87,已售：3.5万,结束：2024-01-04,1477,6160,潇潇户外用品店个体店,4.97,4.6,4.71,2023-04-18 21:13:24.110
"柔软透气可调节护颈脖套预防低头脖子前倾支撑颈椎夏季时尚保暖",49.0,31.0%,15.19,已售：2.9万,结束：2023-08-31,,,护鑫运动家居店,4.94,4.87,4.71,2023-04-18 21:13:24.207
"【可拆卸帽檐】冰丝防晒衣女款外穿防紫外线户外遮阳防晒衫皮肤衣",49.9,20.0%,9.98,已售：5.7万,结束：2023-04-30,2543,5747,虹虹户外服饰店,4.91,4.95,4.75,2023-04-18 21:13:24.294
"FELAPLUS【男女同款】潮牌T恤短袖休闲运动透气高品质刺绣短袖",39.99,27.0%,10.8,已售：1.7万,结束：2024-02-29,,,FELAPLUS潮牌,4.86,4.98,4.85,2023-04-18 21:13:24.376
"嘴哥同款护腕劳拉之星加压健身护腕防扭伤男女绷带运动专业助力带",29.9,27.0%,8.07,已售：7.6万,结束：2023-05-12,2671,8964,劳拉之星 LARA STAR,4.97,4.53,4.97,2023-04-18 21:13:24.454
"吱慕瑜伽轮开背初学者健身圈环后弯神器器材按摩滚背美背滚筒 ",29.9,36.0%,10.76,已售：2.5万,结束：2023-05-31,2139,6627,吱慕运动企业店,4.99,4.92,4.98,2023-04-18 21:13:24.527
"OULLA春季款修身立领拉链外套款开衫健身瑜伽服3378#x薄款弹力",89.0,35.0%,31.15,已售：1.1万,结束：2023-12-31,165,1002,OULLA欧拉运动健身旗舰店,4.97,4.97,4.72,2023-04-18 21:13:24.603
"南极人充电语音款无绳跳绳计专业负重运动健身器材初学者通用大球",59.9,50.0%,29.95,已售：2293,结束：2023-12-31,,,NANJIREN南极人健身训练旗舰店,4.99,4.93,4.98,2023-04-18 21:13:24.681
"全自动速开帐篷户外折叠加厚防雨3-4人野外露营钓鱼防蚊虫帐篷",148.0,16.0%,23.68,已售：1795,结束：2024-03-24,405,,远诚华盛商贸,4.64,4.88,4.76,2023-04-18 21:13:24.764
"【厂家直发】仰卧起坐辅助器，你的家用健身好帮手锻炼便携加厚",29.9,50.0%,14.95,已售：55.4万,结束：2023-04-20,1180,4215,聚赛JUSAI健身训练旗舰店,4.76,4.78,4.9,2023-04-18 21:13:24.840
"【新升级】网球训练器 新手初学者单/双人打带绳回弹网球拍套装",69.0,46.0%,31.74,已售：7.7万,结束：2023-12-02,711,2001,街边体育,4.89,4.86,4.86,2023-04-18 21:13:24.936
"Peak/匹克8字拉力器耐用拉伸器瑜伽训练拉力绳拉伸器材",13.9,42.0%,5.84,已售：4.0万,结束：2023-06-30,2718,1.1万,匹克Peak运动装备旗舰店,4.98,4.79,4.96,2023-04-18 21:13:25.016
"虎督户外用品野餐垫沙滩帐篷垫子防潮垫加厚便携春游垫耐磨可折叠",9.9,28.0%,2.77,已售：89.6万,结束：2024-06-30,5502,2.2万,王哥供应链,4.97,4.98,4.98,2023-04-18 21:13:25.104
"Keep俯卧撑健身板练胸腹肌臂多功能男士家用健身辅助器材稳固折叠",69.0,21.0%,14.49,已售：10.3万,结束：2023-08-05,981,4531,Keep官方旗舰店,4.97,4.98,4.76,2023-04-18 21:13:25.188
"【粉丝福利】小胖棘轮螺丝刀萝卜头螺丝批十字一字省力多功能改锥",6.99,16.0%,1.12,已售：6.2万,结束：2024-04-30,,,英保优品,4.98,4.97,4.66,2023-04-18 21:13:25.276
"【外贸品质】自动适配度数50度-250度 老花眼镜（拍一发二）",19.9,40.0%,7.96,已售：7737,结束：2023-06-30,,,翁瑞商行,4.77,4.83,4.85,2023-04-18 21:13:25.373
"Peak/匹克两键负重两用计数跳绳成人学生运动锻炼绳无绳有绳练习",35.9,30.0%,10.77,已售：8.5万,结束：2023-07-30,,,匹克Peak运动装备旗舰店,4.98,4.79,4.96,2023-04-18 21:13:25.468
"北溟鱼强悍二代大导环滑漂竿矶竿矶钓竿淡水海水远投超轻超硬鱼竿",288.0,20.0%,57.6,已售：8758,结束：2023-05-31,,,北溟鱼官方旗舰店,4.8,4.96,4.72,2023-04-18 21:13:25.556
"博冠天宫折射70500天文望远镜软包版观星两用高倍大口径",399.0,15.0%,59.85,已售：1117,结束：2023-07-31,,,博冠Bosma官方旗舰店,4.27,4.38,4.95,2023-04-18 21:13:25.645
"【运动护膝】专业运动护膝跑步打球健身跳绳跳操专用保护半月板",79.0,50.0%,39.5,已售：8930,结束：2024-03-01,255,1287,菲弘运动优选个体店,4.97,4.74,4.86,2023-04-18 21:13:25.745
"室内可折叠二代蹦床儿童蹦床家用小孩宝宝跳跳床家庭小型弹跳床",299.0,22.0%,65.78,已售：6090,结束：2023-10-31,,,HongTai宏太康固电子专卖店,4.81,4.48,4.93,2023-04-18 21:13:25.872
"特步握力器专业便捷练手部手力臂肌计数臂力棒可调节男士100KG",19.9,51.0%,10.15,已售：7.8万,结束：2024-02-20,1594,5721,特步健身训练旗舰店,4.98,4.15,4.75,2023-04-18 21:13:39.047
"烧烤炉户外便携野餐露营抽拉式碳槽烧烤木炭家用折叠式烧烤工具",39.9,25.0%,9.98,已售：4193,结束：2024-04-01,,,KeepFit运动户外工厂店,4.84,4.95,4.22,2023-04-18 21:13:39.162
"MOGOLD专业健身运动男女竞速双轴承考级美体学生比赛钢丝跳绳硅胶",29.9,16.0%,4.78,已售：13.0万,结束：2025-02-03,2518,1.2万,MOGOLD跳绳,4.95,4.83,4.93,2023-04-18 21:13:39.245
"【两件套】春夏冰丝防晒防紫外线遮脸帽遮阳帽户外骑行太阳帽透气",29.9,50.0%,14.95,已售：15.3万,结束：2023-10-31,,,偌谷优选,4.96,4.73,4.94,2023-04-18 21:13:39.342
"CARTELO/卡帝乐鳄鱼F07夏季透气运动POLO衫商务休闲百搭男女同款",29.99,28.0%,8.4,已售：6035,结束：2024-10-31,,,卡帝乐鳄鱼CARTELO方众服饰专卖店,4.91,4.99,4.86,2023-04-18 21:13:39.422
"薏凡特大码运动背心 薄款速干聚拢防震跳操健身服美背舒适短款",269.0,30.0%,80.7,已售：547,结束：2024-03-28,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:39.504
"R李宁流岩男女款轻便舒适透气低帮潮流经典休闲鞋AGCS267/AGCS268",218.0,11.0%,23.98,已售：6109,结束：2024-02-29,,,李宁官方旗舰店,4.97,4.99,4.99,2023-04-18 21:13:39.597
"R李宁男女同款跑步鞋透气舒适经典潮流百搭运动鞋ARLS021/ARLS022",178.0,6.0%,10.68,已售：8320,结束：2024-02-29,,,李宁官方旗舰店,4.97,4.99,4.99,2023-04-18 21:13:39.682
"【多功能俯卧撑板】加宽加厚 居家便携仰卧板 精准训练健身好帮手",49.0,46.0%,22.54,已售：6.3万,结束：2023-12-02,656,2324,街边体育,4.89,4.86,4.86,2023-04-18 21:13:39.764
"薏凡特健身裤女高强度运动透气快高弹紧身裤收腹提臀高腰跑步外穿",379.0,30.0%,113.7,已售：2289,结束：2024-03-31,,,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:39.849
"9.9M/2个樱桃小抓夹 侧边夹刘海发夹可爱秋冬头饰",9.9,42.0%,4.16,已售：3.7万,结束：2023-08-01,907,,强饰贸易商行,4.9,4.93,4.89,2023-04-18 21:13:39.940
"【原始人六角帐篷】户外便携式折叠野营装备野餐大全自动加厚防雨",248.0,9.0%,22.32,已售：6692,结束：2023-07-31,,,原始人官方旗舰店,4.79,4.5,4.76,2023-04-18 21:13:40.026
"蓓安适10条一次性内裤纯棉无菌女士男士三角孕期待产旅游免洗透气",49.6,15.0%,7.44,已售：9666,结束：2023-11-30,57,6328,蓓安适Briars官方旗舰店,4.99,4.99,4.99,2023-04-18 21:13:40.119
"Keep瑜伽垫家用防滑加厚加大男女减震双色运动训练居家健身好物",59.0,20.0%,11.8,已售：5.3万,结束：2023-07-31,654,3496,Keep官方旗舰店,4.97,4.98,4.76,2023-04-18 21:13:40.222
"OULLA现货防晒服女UPF50+防紫外线透气外套连帽速干透气服3516",99.0,25.0%,24.75,已售：1570,结束：2023-09-30,342,,OULLA欧拉运动健身旗舰店,4.97,4.97,4.72,2023-04-18 21:13:40.316
"【联威美人鱼典藏版】全新升级6H19调  超轻超硬 韧性好腰力强劲",99.0,40.0%,39.6,已售：1.3万,结束：2023-05-31,228,1133,鲟龙士户外渔具,4.37,4.72,4.94,2023-04-18 21:13:40.412
"Suppress自动弹簧棍三节棍子伸缩 车载用品便携破窗器保护自己",76.0,28.0%,21.28,已售：3.9万,结束：2024-09-01,,,Suppress运动户外旗舰店,4.85,4.81,4.83,2023-04-18 21:13:40.506
"迈乐森专业跳绳跳操运动鞋缓震防滑慢跑鞋休闲女鞋男女同款跑鞋子",268.0,25.0%,67.0,已售：2.1万,结束：2023-12-31,76,476,迈乐森Mailesen旗舰店,4.98,4.68,4.52,2023-04-18 21:13:40.598
"BIOAQUA唯美油画短袖薄款T恤印花短袖女涂鸦穿搭半袖上衣春夏新款",19.9,25.0%,4.98,已售：8536,结束：2024-03-30,3118,,BIOAQUA官方旗舰店,4.91,4.99,4.44,2023-04-18 21:13:40.702
"露营推车可折叠户外营地野餐营手拉杆小拖车桌板郊游旅行便携装备",94.9,16.0%,15.18,已售：7380,结束：2025-11-30,678,,羽克官方旗舰店,4.8,4.8,4.98,2023-04-18 21:13:40.805
