商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"迪士尼正版授权无线口袋胶囊充电宝小巧便携移动电源快充苹果",39.9,18.0%,7.18,已售：1.9万,结束：2023-12-31,,,众联数码科技,4.98,4.69,4.48,2023-04-18 20:17:32.442
"倍思20w氮化镓iPhone14快充充电器头promax手机苹果30WPD折叠套装",39.0,20.0%,7.8,已售：17.2万,结束：2023-05-31,3178,1.5万,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:32.538
"旺厨好太太燃气灶家用煤气灶双灶台嵌两用可选天然气液化气聚能灶",289.0,20.0%,57.8,已售：3.6万,结束：2023-09-30,316,1579,厨房电器优选,4.44,4.43,4.59,2023-04-18 20:17:32.614
"华太5号7号干电池普通碳性空调电视遥控器挂钟专用非碱性厂家批发",9.9,15.0%,1.48,已售：46.4万,结束：2025-12-31,3.4万,10.0万,华太官方旗舰店,4.99,4.6,4.77,2023-04-18 20:17:32.705
"四合一台灯电风扇厨房卫生间电风扇USB充电桌面风扇壁挂学生家用",39.9,32.0%,12.77,已售：1.3万,结束：2023-08-31,,,豚豚精品,4.94,4.97,4.98,2023-04-18 20:17:32.788
"新款可拆卸等离子摇头底噪变频家用落地扇空气循环扇电风扇机械款",49.99,16.0%,8.0,已售：1.2万,结束：2027-05-13,,,州牧供应,4.31,3.71,4.44,2023-04-18 20:17:32.877
"【2023新版 借条欠款条】借款借钱借支单民间借据单欠条欠款单",18.9,53.0%,10.02,已售：28.8万,结束：2023-06-30,1639,1.3万,招财猫文化,4.96,4.74,4.71,2023-04-18 20:17:32.982
"全球音蓝牙音箱立体重低音炮七彩灯光桌面音箱发光高音质电脑音响",26.8,16.0%,4.29,已售：5.0万,结束：2023-12-31,1805,2.2万,麦乐奇严选3C数码,4.49,4.97,4.62,2023-04-18 20:17:33.098
"萌宠充电宝10000毫安自带线移动电源小巧便携手机通用",29.9,18.0%,5.38,已售：2.1万,结束：2025-04-03,5146,1.8万,好之品,4.92,4.99,4.95,2023-04-18 20:17:33.215
"罗马仕20000毫安时自带线两线22.5W快充充电宝便携移动电源旅行",109.0,8.0%,8.72,已售：6.2万,结束：2023-12-31,,,ROMOSS罗马仕官方旗舰店,4.91,4.47,4.85,2023-04-18 20:17:33.316
"适用苹果数据线iPhone13/12/11/8plusPD20Wxsmax/xr快充充电线器",9.8,17.0%,1.67,已售：32.3万,结束：2024-04-04,1.7万,,深圳市福田区七猫数码店的小店个体店,4.92,3.49,4.76,2023-04-18 20:17:33.422
"蓝牙耳机跑步运动型真无线不入耳夹挂耳式2023新款高品质长续航款",79.9,40.0%,31.96,已售：8651,结束：2023-04-30,424,,诺必行影音旗舰店,4.79,4.97,4.67,2023-04-18 20:17:33.515
"绿联平板支架手机支架ipad床头懒人神器床上悬臂拍摄追剧桌面通用",65.0,20.0%,13.0,已售：13.2万,结束：2023-07-01,843,7459,绿联官方旗舰店,4.98,4.99,4.87,2023-04-18 20:17:33.635
"MONSTER/魔声正品XKT08 高端 真无线降噪蓝牙耳机 手机通用便携",96.0,25.0%,24.0,已售：4.8万,结束：2023-09-01,,,伊源科技,4.74,4.79,4.61,2023-04-18 20:17:33.738
"【9.9/2卷】手指绷带学生写字护指胶带弹性手指胶带防磨护指绷带",9.9,55.0%,5.44,已售：14.0万,结束：2023-11-30,1633,2.0万,记忆猫,4.96,4.93,4.6,2023-04-18 20:17:33.833
"LISEN李森悬臂懒人支架床头桌面万向调节追剧升降平板手机支架",55.9,19.0%,10.62,已售：4.9万,结束：2024-05-31,691,9699,LISEN李森官方旗舰店,4.96,4.98,4.76,2023-04-18 20:17:33.930
"Benks轻砂壳苹果13手机壳iPhone14ProMax防摔全包保护新款12高端",44.0,20.0%,8.8,已售：3.6万,结束：2024-04-30,,,Benks邦克仕官方旗舰店,4.93,4.99,4.91,2023-04-18 20:17:34.030
"倍思30W氮化镓快充充电器头iPhone14苹果通用20Wpd数据线直插套装",59.0,20.0%,11.8,已售：2.4万,结束：2023-10-31,1491,7580,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:34.131
"【外贸高货】可伸缩折叠充电无线便携多功能桌面落地风扇",59.9,20.0%,11.98,已售：5872,结束：2023-10-01,,,震翔好物优选,4.81,4.91,4.87,2023-04-18 20:17:34.219
"倍思快充插线板65W氮化镓桌面办公多口大功率带线充电器智能断电",249.0,15.0%,37.35,已售：4079,结束：2023-06-30,,,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:34.305
"whykid正品蓝牙耳机真无线高音质运动跑步适用于苹果/华为/安卓",79.0,21.0%,16.59,已售：4.8万,结束：2024-01-28,1250,4882,科力数码配件店,4.49,4.77,4.99,2023-04-18 20:17:34.376
"智能语音声控灯主链接USB小夜灯感应日行灯AI声控即插即用",6.99,27.0%,1.89,已售：4.7万,结束：2023-06-30,,,南鲨严选,4.86,4.82,4.66,2023-04-18 20:17:34.448
"【英菲克】v680键盘鼠标套装有线办公打字网吧台式笔记本电竞游戏",69.0,20.0%,13.8,已售：4.3万,结束：2024-12-29,1439,6180,英菲克官方旗舰店,4.96,4.95,4.83,2023-04-18 20:17:34.533
"极客线6A数据线type-c安卓苹果华为小米一拖三120w手机快充数据线",9.9,33.0%,3.27,已售：2.7万,结束：2024-04-11,1.2万,,圆点达数码,4.95,4.96,4.56,2023-04-18 20:17:34.613
"倍思快充40W插线板30W充电USB插座氮化镓多功能多孔位排插接线板",112.0,15.0%,16.8,已售：3.5万,结束：2023-06-30,1100,5149,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:34.695
"倍思磁吸无线充电宝20W快充专用苹果14快充iphone13/12小巧便携",119.0,15.0%,17.85,已售：1.4万,结束：2023-10-31,871,4056,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:34.811
"无线麦克风领夹话筒一拖二降噪直播收音录音采访探店户外拍小视频",115.0,30.0%,34.5,已售：2.0万,结束：2023-12-31,428,2060,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:17:34.898
"倍思苹果14数据线PD快充线iPhone13加长充电线12promax自动断电头",35.0,20.0%,7.0,已售：3.0万,结束：2023-10-31,6551,1.2万,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:34.977
"童乐思背书诵读耳返蓝牙耳机宝宝拍耳罩放大声音记单词快速记忆",149.0,20.0%,29.8,已售：2.6万,结束：2023-04-30,51,2069,宝宝拍亲子玩具店,4.97,4.7,4.74,2023-04-18 20:17:35.064
"家用插座转换器一转多功能插头usb充电小夜灯插排带开关桌面一体",9.9,14.0%,1.39,已售：13.7万,结束：2023-07-31,7230,5.9万,顾购,4.96,4.99,4.72,2023-04-18 20:17:35.167
"闪魔【高清电镀抗指纹】适用苹果华为小米直屏手机非全屏钢化膜",15.0,21.0%,3.15,已售：27.6万,结束：2024-04-01,5649,2.5万,闪魔SMARTDEVIL官方旗舰店,4.93,4.97,4.74,2023-04-18 20:17:35.260
"拓步S7-T旗舰版扫描笔词典笔点读笔翻译笔答疑智能语音助手",89.9,33.0%,29.67,已售：1.6万,结束：2023-11-30,828,1805,非帆智品严选,4.78,4.73,4.86,2023-04-18 20:17:35.339
"YUTOOL 一拖三超级快充数据线三合一手机充电线适用安卓苹果typec",5.2,30.0%,1.56,已售：64.0万,结束：2023-10-31,8086,4.6万,YUTOOL数码旗舰店,4.98,4.98,4.62,2023-04-18 20:17:35.446
"本腾随身wifi无线网卡路由设备免插便携式",69.0,60.0%,41.4,已售：3556,结束：2023-12-31,304,1333,本腾蓝湾网络专卖店,4.78,4.98,4.97,2023-04-18 20:17:35.570
"英语点读笔万能扫读笔词典笔中英翻译笔高中小学通用课本同步教材",89.9,41.0%,36.86,已售：1818,结束：2024-06-30,,,鸿昊工厂店,4.95,4.97,4.98,2023-04-18 20:17:35.700
"奢姿多功能键盘清洁刷笔记本手机清理套装屏幕清洗擦airpods耳机",14.8,22.0%,3.26,已售：7.8万,结束：2023-12-31,3708,2.2万,奢姿数码旗舰店,4.99,4.97,4.81,2023-04-18 20:17:35.798
"移速22.5W双向快充20000毫安大容量多口快充充电宝便携移动电源",39.9,8.0%,3.19,已售：14.7万,结束：2023-09-30,,,MOVESPEED移速官方旗舰店,4.88,4.73,4.6,2023-04-18 20:17:35.905
"迅即可旋转铝合金手机平板支架可折叠便携桌面懒人多功能直播专用",39.8,25.0%,9.95,已售：1.8万,结束：2023-04-30,,,迅即数码,4.99,4.96,4.94,2023-04-18 20:17:36.013
"DIVOOM点音蓝牙音响K歌小音箱生日礼物情人节礼物卡拉OK麦克风",564.0,20.0%,112.8,已售：9430,结束：2023-12-31,113,440,DIVOOM点音影音旗舰店,4.86,4.76,4.98,2023-04-18 20:17:36.103
"DERE/戴睿2023新品笔记本电脑全新15.6寸11代CPU商务办公本RBY09",6399.0,12.0%,767.88,已售：26,结束：2023-07-31,,,DERE戴睿博雅寰球笔记本电脑专卖店,4.9,4.43,4.65,2023-04-18 20:17:36.180
"充电款手机蓝牙遥控器拍照录像刷视频拍视频看小说苹果安卓通用",12.9,41.0%,5.29,已售：13.4万,结束：2023-10-01,,,涵宇百货,4.98,4.98,4.99,2023-04-18 20:17:36.258
"【宠粉专享】炫彩小音箱低音振膜蓝牙户外蓝牙音响箱七彩灯便携",19.9,20.0%,3.98,已售：5.4万,结束：2024-03-31,,,FAN XING MAO数码旗舰店,4.47,4.62,4.32,2023-04-18 20:17:36.331
"【无需网络】户外4G监控手机远程360度全景全彩高清家用摄像头",99.0,40.0%,39.6,已售：2087,结束：2023-04-30,,,JNN网络旗舰店,4.7,4.48,4.89,2023-04-18 20:17:36.409
"【上门安装】KKTV家用油烟机大吸力双电机带自动清洗侧吸体感开关",499.0,22.0%,109.78,已售：842,结束：2024-02-29,,,立发商贸店,4.95,4.79,4.88,2023-04-18 20:17:36.493
"【速发】借条欠款条借款收据民间借据无碳复写二联印刷厚实",16.8,50.0%,8.4,已售：7.1万,结束：2023-12-01,319,8151,开心购厂家直销一店企业店,4.99,3.62,4.71,2023-04-18 20:17:36.587
"抖王【送话筒】DW-338蓝牙音响便携式手提彩灯K歌音箱CYX",29.9,20.0%,5.98,已售：3.9万,结束：2024-04-30,2077,1.0万,广东抖王音箱,4.66,4.79,4.89,2023-04-18 20:17:36.684
"联想运动无线蓝牙耳机颈挂脖入耳式跑步健身超长续航安卓苹果通用",29.9,15.0%,4.48,已售：26.0万,结束：2023-06-30,3015,1.4万,惠驰影音自营店,4.56,4.79,4.75,2023-04-18 20:17:36.778
"倍思P1蓝牙挂脖式耳机长续航颈挂式5.2运动降噪苹果华为小米手机",79.0,20.0%,15.8,已售：1.9万,结束：2023-09-30,692,3324,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:36.867
"Konka/康佳409升十字对开门冰箱 家用保鲜高端冷藏冷冻大容量节能",1699.0,3.0%,50.97,已售：5112,结束：2023-10-31,41,463,康佳大家电旗舰店,4.39,4.85,4.32,2023-04-18 20:17:36.945
"罗马仕20000毫安时自带线大容量充电宝小奶方迷你快充小巧便携",119.0,8.0%,9.52,已售：5972,结束：2023-12-31,,,ROMOSS罗马仕旗舰店,4.88,4.72,4.65,2023-04-18 20:17:37.061
"超级快充一拖三数据线加粗加长三合一充电线type-c通用车载三头",9.99,35.0%,3.5,已售：1.8万,结束：2023-05-31,6618,,南鲨严选,4.86,4.82,4.66,2023-04-18 20:17:37.166
"超值19.9元【通用型煤气灶点火针】维修煤气灶燃气灶灶具维修配件",19.9,50.0%,9.95,已售：2.1万,结束：2024-06-30,,,艺轩百货,4.96,4.93,4.83,2023-04-18 20:17:37.265
"ideo45W磁吸分离式充电宝充电器数据线三合一快充适用手机笔记本",190.0,16.0%,30.4,已售：4249,结束：2024-08-31,260,1655,ideo官方旗舰店,4.79,4.95,4.92,2023-04-18 20:17:37.369
"PS Board/磐写儿童液晶手写板益智玩具绘画板无尘涂鸦炫彩小黑板",9.95,30.0%,2.98,已售：146.9万,结束：2024-02-29,4362,1.9万,磐写旗舰店,4.97,4.98,4.65,2023-04-18 20:17:37.475
"Disney/迪士尼超薄小巧便携可爱卡通 无线应急移动电源口袋充电宝",39.9,31.0%,12.37,已售：1.4万,结束：2023-11-18,2021,4256,众联数码科技,4.98,4.69,4.48,2023-04-18 20:17:37.584
"多用途耳机清洁笔无线蓝牙耳机充电仓除尘清理神器套装清洗用品",9.9,26.0%,2.57,已售：9.9万,结束：2023-12-31,8262,2.3万,乐有趣数码个体店,4.94,4.98,4.65,2023-04-18 20:17:37.722
"快捷键鼠标垫超大CAD/office/PS/3D学习办公设计软件神器桌垫加厚",29.9,30.0%,8.97,已售：5.2万,结束：2023-06-30,1016,6365,CAD课堂,4.73,4.78,-1,2023-04-18 20:17:37.833
"HP/惠普【K10G全家桶】机械键盘usb游戏通用有线键鼠套装外设电竞",139.9,10.0%,13.99,已售：4593,结束：2023-06-30,982,3573,惠普数码配件旗舰店,4.71,4.91,4.93,2023-04-18 20:17:37.943
"【工厂直销】苹果华为OPPO小米VO安卓手机通用多功能数据转接头",126.88,45.0%,57.1,已售：2416,结束：2023-06-30,81,872,晶凌科技,4.93,4.99,4.56,2023-04-18 20:17:38.032
"【苹果/华为/oppo/vivo】iPhone14/13简约透明镜头膜男女款手机壳",18.8,31.0%,5.83,已售：3.4万,结束：2023-04-30,1312,,若灵数码个体店,4.85,4.84,4.47,2023-04-18 20:17:38.106
"Deli/得力【塞纳河打印纸】复印纸A4打印纸不卡纸500张/包70g单包",18.88,13.0%,2.45,已售：3.6万,结束：2023-04-30,6674,,现货购办公文具店,4.99,4.67,4.97,2023-04-18 20:17:38.179
"新款手机平板支架神器桌面折叠便携升降直播架懒人追剧看电视支架",9.9,40.0%,3.96,已售：34.1万,结束：2025-03-31,2449,1.3万,家家百货小店,4.99,4.74,4.98,2023-04-18 20:17:38.255
"英菲克pm1无线可充电式静音鼠标小巧usb超薄办公商务便携台式轻薄",29.9,27.0%,8.07,已售：6.2万,结束：2023-09-30,1131,5236,英菲克官方旗舰店,4.96,4.95,4.83,2023-04-18 20:17:38.334
"【英菲克】PW2PRO机甲版有线鼠标电竞机械游戏静音电脑台式办公",39.9,25.0%,9.98,已售：8995,结束：2024-02-29,,,英菲克官方旗舰店,4.96,4.95,4.83,2023-04-18 20:17:38.409
"倍思安卓苹果type-c数据线三合一快充伸缩3.5A一拖三车载充电线",33.0,20.0%,6.6,已售：24.9万,结束：2023-05-31,1650,7267,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:38.484
"无叶风扇超静音家用立式智能办公落地式台式冰凉优选空气循环塔扇",69.9,24.0%,16.78,已售：2564,结束：2024-04-09,,,德力好物优选,4.89,4.88,4.76,2023-04-18 20:17:38.571
"无叶挂脖风扇便携式随身运动懒人学生户外静音大风力usb充电风扇",19.9,23.0%,4.58,已售：1.6万,结束：2024-07-18,1619,,AFTg,4.92,4.75,4.88,2023-04-18 20:17:38.679
"【百万补贴】美的(Midea)10KG全自动滚筒洗衣机 静音变频洗脱一体",1599.0,8.0%,127.92,已售：1232,结束：2023-08-31,,,冰洗家电工厂,4.69,4.93,4.55,2023-04-18 20:17:38.761
"YUTOOL 适用苹果手机充电线iPhone14/13/12promax/xr快充数据线头",3.8,29.0%,1.1,已售：150.4万,结束：2024-03-31,8486,4.1万,YUTOOL数码旗舰店,4.98,4.98,4.62,2023-04-18 20:17:38.852
"【新手推荐】奥川X Pro三轴手持云台手机稳定器智能跟拍直播支架",499.0,18.0%,89.82,已售：5249,结束：2023-06-30,155,463,奥川旗舰店,4.89,4.97,4.94,2023-04-18 20:17:38.948
"倍思车载香薰拨片式汽车用品好物隐形设计香水出风口香氛持久留香",29.0,20.0%,5.8,已售：24.8万,结束：2023-05-31,1507,7911,Baseus倍思官方旗舰店,4.94,4.96,4.78,2023-04-18 20:17:39.039
"小天懒人手机支架落地俯拍通用架桌面拍摄美食书法直播360度旋转",104.0,20.0%,20.8,已售：3256,结束：2024-01-31,,,小天官方旗舰店,4.97,4.79,4.54,2023-04-18 20:17:39.139
"萌宠充电宝10000自带四线小巧便携手机通用",29.9,16.0%,4.78,已售：7651,结束：2025-06-01,,,JN优品,4.88,4.92,4.88,2023-04-18 20:17:39.245
"【苹果/华为/OPPO/vivo/小米】创意13旋转蜡笔小新手机壳14情侣壳",5.8,40.0%,2.32,已售：2.0万,结束：2024-10-31,1002,,优壳数码,4.78,4.29,3.94,2023-04-18 20:17:39.338
"【店长推荐】无线挂耳式蓝牙耳机2022年新款商务跑步运动超长续航",39.9,42.0%,16.76,已售：3.7万,结束：2027-02-27,414,2326,中利恒海数码专营店,4.48,4.53,4.63,2023-04-18 20:17:39.452
"闪魔【UV晶钻高清钢化膜】适用华为荣耀小米三星vivo曲面全屏手机",58.8,20.0%,11.76,已售：4.3万,结束：2024-03-01,,,闪魔SMARTDEVIL官方旗舰店,4.93,4.97,4.74,2023-04-18 20:17:39.559
"新基宏油性胶水强力多功能胶水粘鞋塑料陶瓷金属通用【绿标】",6.9,50.0%,3.45,已售：157.6万,结束：2023-09-30,2128,1.2万,新基宏建材旗舰店,4.98,4.9,4.72,2023-04-18 20:17:39.674
"【无网无电专用】太阳能无线监控摄像头360旋转夜视高清防水",198.0,40.0%,79.2,已售：675,结束：2023-04-30,,,JNN网络旗舰店,4.7,4.48,4.89,2023-04-18 20:18:06.370
"外贸品质Mrs.Bonney折叠风扇充电款",49.9,13.0%,6.49,已售：4360,结束：2023-05-31,,,番佐工厂店,4.8,3.51,4.86,2023-04-18 20:18:06.468
"Gushimei/古诗美2023款大容量黑色中性笔0.5/0.7/1.0办公签字笔",9.9,36.0%,3.56,已售：27.0万,结束：2023-12-31,802,1.1万,古诗美办公文具旗舰店,4.99,4.85,4.97,2023-04-18 20:18:06.561
"双灶头家用燃气灶嵌入式台式两用天然气液化气灶具",199.0,20.0%,39.8,已售：1577,结束：2025-07-01,81,544,立发商贸店,4.95,4.79,4.88,2023-04-18 20:18:06.644
"李森悬臂懒人手机支架隐藏式免夹床头桌面万向调节追剧神器支架",109.0,18.0%,19.62,已售：1892,结束：2023-05-31,,,LISEN李森官方旗舰店,4.96,4.98,4.76,2023-04-18 20:18:06.728
"居家【好物推荐】下进水电热水龙头洗碗洗菜安装洗漱盆洗菜盆上",69.0,18.0%,12.42,已售：7.0万,结束：2023-05-31,299,2382,爱荷美家居旗舰店,4.79,4.85,4.59,2023-04-18 20:18:06.816
"抖王【送话筒】抖王DW18蓝牙音响便携式手提彩灯K歌音箱YX",29.9,18.0%,5.38,已售：1.6万,结束：2023-12-31,889,5520,广东抖王音箱,4.66,4.79,4.89,2023-04-18 20:18:06.921
"手机平板支架神器桌面折叠便携升降直播架懒人追剧看电视支架K259",4.9,14.0%,0.69,已售：12.3万,结束：2023-12-31,7934,5.1万,亿城优选供应链,4.98,4.69,4.42,2023-04-18 20:18:07.012
"闪魔【25°防窥膜】防尘适用苹果安卓手机防窥钢化膜防摔防偷窥膜",18.8,20.0%,3.76,已售：6.4万,结束：2024-03-01,,,闪魔SMARTDEVIL官方旗舰店,4.93,4.97,4.74,2023-04-18 20:18:07.104
"萌宠充电宝10000自带线移动电源小巧便携手机通用",29.9,17.0%,5.08,已售：5358,结束：2025-03-06,539,,JN优品,4.88,4.92,4.88,2023-04-18 20:18:07.197
"迪士尼联名款可爱真无线蓝牙耳机女款高颜值情侣学生运动手机通用",39.9,25.0%,9.98,已售：2.4万,结束：2024-03-31,,,惠驰影音自营店,4.56,4.79,4.75,2023-04-18 20:18:07.290
"华为/小米/苹果/vivo/oppo 新款小怪兽菲林可爱涂鸦硬壳ins手机壳",25.9,52.0%,13.47,已售：2850,结束：2024-03-31,290,,麦壳ke数码配件,4.77,4.86,4.4,2023-04-18 20:18:07.376
"小天全面屏直播拍照美颜护眼补光灯主播网红专用落地桌面多功能灯",138.0,20.0%,27.6,已售：2137,结束：2024-01-31,,,小天官方旗舰店,4.97,4.79,4.54,2023-04-18 20:18:07.470
"【粉丝专享】网易严选 网易云音乐迪士尼X1 真无线蓝牙耳机",199.0,20.0%,39.8,已售：1.0万,结束：2023-12-31,673,,网易严选官方旗舰店,4.85,4.97,4.97,2023-04-18 20:18:07.588
"单耳蓝牙耳机可180度旋转左右耳佩戴安卓苹果【赠一年影视卡】",6.99,16.0%,1.12,已售：2.7万,结束：2026-05-09,2290,,乐韵工厂店,4.7,4.57,4.63,2023-04-18 20:18:07.685
"手机支架三四脚架自拍杆一体三角架直播懒人拍摄补光灯落地可折叠",98.8,30.0%,29.64,已售：4151,结束：2030-12-31,118,,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:18:07.783
"【小天才官方旗舰店】智能儿童电话手表z6s翻转双摄学习定位防水",999.0,8.0%,79.92,已售：3785,结束：2023-05-31,,,小天才数码旗舰店,4.99,4.96,4.98,2023-04-18 20:18:07.881
"手机支架自拍杆四三脚架直播补光灯多功能蓝牙遥控器网红自拍神器",58.0,30.0%,17.4,已售：9222,结束：2030-12-31,420,1651,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:18:07.976
"闪魔【超爽滑钻石膜】适用苹果华为小米全屏高清防尘防爆钢化膜",30.8,20.0%,6.16,已售：5.5万,结束：2024-03-01,,,闪魔SMARTDEVIL官方旗舰店,4.93,4.97,4.74,2023-04-18 20:18:08.080
"新款360°智能高速跟拍云台跟拍神器开机即用360°无限位旋转自拍",179.0,30.0%,53.7,已售：1210,结束：2023-04-30,396,,溢辉源头工厂总仓,4.64,4.91,4.84,2023-04-18 20:18:08.187
"【官方旗舰店】YUNMAI云麦智能体脂秤3mini 精准家用充电款 ",89.0,30.0%,26.7,已售：6380,结束：2023-12-31,184,1091,云麦智能健身旗舰店,4.97,4.43,4.65,2023-04-18 20:18:08.288
"海备思 笔记本隐形便携支架电脑散热脚垫增高架键盘托架",39.0,20.0%,7.8,已售：2.0万,结束：2023-06-30,1352,4064,海备思官方旗舰店,4.99,4.98,4.99,2023-04-18 20:18:08.377
"手机桌面支架可折叠升降网红支架通用看电视追剧视频直播网课神器",4.9,11.0%,0.54,已售：10.9万,结束：2024-03-31,3087,5.3万,网义严选,4.93,4.73,4.74,2023-04-18 20:18:08.466
